RECOGITO_ID,ANNOTATIONS,PAGE_NUMBER,ANNOTATED_TEXT,BARCODE
recogito-42621149-190a-4402-a240-e2653b03df8b,pages,1,--- 00002_page2.txt ---,Z255430508
recogito-ba0f8ea1-ebee-4b35-a5a1-a863713190a3,pages,2,--- 00005_page5.txt ---,Z255430508
recogito-bbded808-606a-4db3-9685-f73601bbfeb2,pages,5,--- 00006_page6.txt ---,Z255430508
recogito-6bbaf0d1-4543-49fc-9274-89d373e6a869,pages,6,--- 00007_page7.txt ---,Z255430508
recogito-ccf0ac28-cbbe-4e27-9542-cc5997123800,pages,7,--- 00009_page9.txt ---,Z255430508
recogito-23a019da-2851-41c1-91ca-8a30643e0e1a,pages,9,--- 00010_page10.txt ---,Z255430508
recogito-8c1c8df0-c80a-438e-a34f-11bf9812279e,pages,10,--- 00011_page11.txt ---,Z255430508
recogito-ece340f9-a4bf-44a8-8a19-69f4b568ee06,pages,12,--- 00013_page13.txt ---,Z255430508
recogito-635eac5d-01d9-47a0-9d55-ed6fde0f0369,pages,13,--- 00014_page14.txt ---,Z255430508
recogito-8e98b099-8f15-41d9-a8cd-76585509bc75,pages,14,--- 00015_page15.txt ---,Z255430508
recogito-3c2842d9-5282-40d0-9f60-8c02f2de49b7,animals 25F|insects 25F711,16,"Politici, ſchreibt Herr Schupp am 8. Blat Differt. de Nihil. Ex Italia
&amp; Gallia reduces à Patrum noſtrorum moribus recedunt;&amp; omnes pulices
tuſfire audiunt, femperque nova inſtituta crepant, non quia bona, fed
quia nova, viel Politici, wenn ſie aus Welſchland oder Franckreich wieder heiin-
foinnten, åndern flugs ihrer Vor- Eltern Sitten, hören die Flöh huſten, und wol-
len lauter neue Anordnungen haben, nicht daß ſie ſo gut, ſondern weils nur was
neues iſt.",Z255430508
recogito-cbbef772-26a9-4f13-91bf-b75e087ee53f,pages,16,--- 00017_page17.txt ---,Z255430508
recogito-68eadedd-1d53-4355-a248-cdb603665414,pages,17,--- 00018_page18.txt ---,Z255430508
recogito-1c002210-50da-4a6a-886b-bf69738ade5a,pages,18,--- 00019_page19.txt ---,Z255430508
recogito-265baa70-fae3-4a66-854c-622f962ec029,pages,19,--- 00020_page20.txt ---,Z255430508
recogito-8186125c-bc20-40ec-af38-70eb0c5fdd81,title,21,"Bas Erſte Buch
Kålt in ſich die Anſtellung zur Reiſe und endlichem
Fortzug übers Alpen- Gebürge biß an die Staliäniſchen Grenken,
und was unter Wegens zu ſehen geweſen.",Z255430508
recogito-d7adcbe0-23dc-4b62-a5fb-a6629b94c72e,subheading,21,"Das Erſte Capirel.
Von der us fedung zur Seifen",Z255430508
recogito-857799ba-5c76-47bb-a75d-7e5ea36bc2f7,subheading,22,"Das II. Capitel.
Von der Fort- Reiſe biß ans Mp? n Oebürge.",Z255430508
