annotation_id,annotated_text,annotation,page,title,onb_barcode,onb_id,iiif_manifest,viewer_link
c6aa442c-7a27-402e-9507-d025e9be0cde,tunaoe Krabbefchreibung aub Zaterahlarte Fiado onſtantinopel 0 und Jeruſalem.,'title',5,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/5
97752d86-bc4e-4224-8bd7-7ac7a8ca32e0,"mudel Authoris Wanang hiwon. Beforms und widater anders furtig an face Darinn die gelegenheit derfelch Länder/ Stadt/ Sleda ebewu. der innwohnenten Bilda detsko ten_ Gebrcuch, Itrachten/ Xeligion vinto Gotteſdienft 26. In fondoñeit die jexige ware geſtalt des) .Grabei der Stade Yerufalein vnd anderer hetligen Derter/ darbers adienthalben der heiligen Schriffe Stem welcher schalt ond marble Róm.Key( Snaj.durch ihrn Legaten dem Zdrotiſchen Krofer/ auch deffen fürnembken Officien/ icoem De fonder zur Pracſent vhter wegen und zu Conftantinopel damals siberlieffern laffen famoups defferber werelrund der Ligasen ampli Hábitationsábeltann Beforbung ito ond goupa Batoffen Onferbk. gleichen deß Cardichen Rede Goberndtion Policeul Borbalemag/ musbar Eck Mithunder ſchönen ACBoch Sigusen/ dergleichen nic mid garfen Ferro In 111. unterſchiedliden Büchern Soffo Remigf eigoe Derfor verscht und abgeriffon Durch Salomon Schweigger/ damalicher am Evangelio åbers dritt Jat su Gonftantinopelk. Dieſer Zeit aber Prediget der Kirchen zu unſer Frawen inn Nürnberg. 2 Vnd jego auff offres begehrn vicle fiirnemeryefahrner vnd guebersian leung Gebruidt onnd verſcge zurürnberg/ durch Johann gangenberger. MDCVIIL & wang Nds forraljum Iron and Warnung alo huu im",'subheading',5,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/5
df27b0c4-750d-4a58-96d1-f1ab819fd936,Den deleit Ehrenve breñve ſten/ Fürſichtigen vnd Hochweifen Herren Burgermeiſtern onnd Rabt der Stadt Nürn. Berg/ meinen gebietenden großgünſtigen lieben Herren.,'subheading',7,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/7
024b2762-2982-4b9a-9112-0637c41a0948,"im Feld Sore/ einzeitlang ſein wefen kame Reyß in gehabt/ mufter onvermeidenlicher noth balb dieſelbe Begypeco. gegend widerumbauffgeben/ oñein Reußin Aegypten thun, daſelbft hat er ſich ein gettlang Bürgerlich nider gelaſſen/ ncmlich an den Ort, dadas Königlich Soflas ger war/ zu Semphis, welches manjeßt Cairo oder Chaldeiſch Alchabiernennt, dagin bat Abraham ben 12. oder 13. Tagrenſen gehabt/ faſt ben 60, SNeitwegs durch die dårr onfruchtbar ſandig Waften/ Nach dem er aber wider Herauß tam, önd ein zeitlang bey Bethle hem wohnet, tregt ſichs widerumb zu/ daß er Theu. rung halben ſich in das Philifterland begeben mus.",'plants vegetation 25G',9,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/9
b94229a7-7688-457d-b8bf-3f420c17c1ae,"Deßgleta den dertrefflich Medicus Dioſcorides, als er im fürs genommen alle Gewechs und SNetall zu beſchreibena ließ er ihm nicht gmúgan wasman in gemein von dena felben wuhe und gefchrteben hett, fondern er zog ſelbs an die Jentgen Ort in ferne Land/ die cigenſ afft Det Kreuter zu erkundiga.",'plants vegetation 25G',12,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/12
96181b6c-c0bc-41ae-9c77-ecee2931151b,Wiein der Lufft der Adler fleucht/ 2nd ſehr hoch in die Weiden Åteigt/ Der Storchond Kranek wie auch die Schwalb Die Lufft durchfreichen allenthalt) Durch viel Länder und Königreich) Wiefapt die Vogel allzuglech) Sawie die Fiſch im weiten Meer hr Heimathaben hin und her/ Die Sonn táglich ihr Renbverricht Durch den Himmctond ferret nicht/ An einem Ort ſie nicht ftill fteht/ Sondern gar fíkned herumber geht/ Alſo ein jeder dapffrer Mann In jedes Land ſich ſchicken fan.,"'animals 25F', 'fishes 25F6', 'birds 25F3'",15,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/15
5bce3dbc-e98c-4ebf-b3cb-03cbdb13a2a0,"Item eg lernt einer in dieſer Weltſchul ſich in die Welt( diden, weldes man zwar aud daheim lernt bey den 4. --- 00017_page17.txt --- Worrebe. 7 bey den Elternond Lehrmeiftern aber es gebet ettvan ſohwerlich ein was die Eltern ond Lehrmeiftervermax nen und lehren/ dagehört albdann die Weltſchuldar. zu, darumb haben die alte Teutſchen recht geſagt/ Ein onverſucht Kindrift bey den Leuten wie ein Rind/ von ongeåbten onnd daheim erzogenen Leuten ſagen auch die Griechen/ ávne sjaõUTE , óUT Vera:","'animals 25F', 'cattle 47I21'",16,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/16
231bb610-391a-4bf3-b15a-dcd2c753d6b0,"Deßgleichen, daß der Alimechtige Sott das jento ge7 was er zugeſagt/ halte/ wann man im geweſenen gelobten Lande warntmbt/ wiedte Göttlichen Reden und Trohung ſo stel gelten/ tute er vmb des Volds on. gehorſam onnd Sande willen den Himmel zu Ellen BHD Die Erde zu Erg macht/ daß das Land Tein eo lcome.zo. Wechs nicht gibt/ ond die B& um fhre Früchtnicht brine Levit.26 gen/ fondern das Land einen immerwerenten ſteten Sepertag helt/ daß das Land/ Stadt vnnd Dörffere wüfteltgen/ vnd nichts dann Wurmnefter und SNöra Dergruben feyn/",'plants vegetation 25G',18,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/18
58788657-06ea-43ea-b84a-2ec57c3dee38,"Zujekterzehlten Nugbarkeiten gehört auch zum for. Derften/ daß einem Reyßmanne färtommen manchers fey Wunderwerd der Welt/ welche der Allmechtige Gott wtf/ daß mans warneme/ darauß ſein Gottli cheltfinacht und Herrligkeit/ neben dem geoffenbar. ten Wortfernenicht allein erkennen, ſondern auch lo. ben und preiſen/ dañ Paulus ſagt Gottes unſichtbar Xom.i, Wefen werde erkannt aus ſeinen Geſchöpffen roman das warnimbt/ alsda ſeynd/ Waſſer, Speer/ Wind felgame Gewechs/ Wunderthier ond dergleichen da. von fagt prach:","'animals 25F', 'fabulous animals 25FF', 'plants vegetation 25G'",19,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/19
5a477d29-bee9-4a87-b3f9-e791515d21c7,die auff dem Neer fahren/{ agen uns von ſeiner Gefehrlig. felt/ oñ die wirs hören/ verwundern ons darüber 1006 felbA ſein ſelgameWunder on mancherley Thier/ durch Diefchiffet Syr. 43. . --- 00020_page20.txt --- Worrede. . si die fchiffet man hin.,'animals 25F',19,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/19
